,0,1
0,14864784.189633803,341678.1156793696
1,2585896.108856602,205350.33805125198
2,1194658.5355825014,132557.9388201835
3,611637.2114924525,91425.44517754069
4,341324.9174032023,66872.31918237852
5,205701.09748911738,51489.15608273554
6,132994.17556956352,41393.49470524644
7,91789.46514000683,34450.32213765778
8,67189.84102953419,31861.400460298515
9,51766.168102444695,29621.43159500138
10,41632.61348504552,28628.881795221896
11,34664.94714779209,27698.302437271435
12,32067.402003090054,27257.92774835911
13,29821.013517104766,27043.5563945715
14,28825.5044399071,26937.769782915493
15,28355.216875500933,26911.483176580237
16,27899.410879589243,26885.245295447636
17,27677.604423418703,26872.147528109632
18,27568.172178873985,26859.062835304954
19,27513.8230151395,26852.52578535968
20,27486.737547955992,26850.892133790785
21,27479.976547340604,26849.258674204804
22,27473.21868821049,26848.442029868278
23,27469.841135415474,26848.033728214214
24,27468.996907167297,26847.62543825465
25,27468.152727937246,26847.42129840287
26,27467.730659816123,26847.31922975896
27,27467.51963112875,26847.268195757497
28,27467.414118128294,26847.217161938675
29,27467.361361963904,26847.19164510943
30,27467.334983965604,26847.178886714853
31,27467.30860601522,26847.166128331697
32,27467.295417061014,26847.15974914508
33,27467.29211982487,26847.156559553052
34,27467.290471207165,26847.15496475729
